timestamp,station_id,name,bikes_available,docks_available
2026-08-18T12:03+00:00,smoove:641,Komeetankatu,0,16
2026-08-18T12:03+00:00,smoove:763,Kalkkipellonmäki,6,18
2026-08-18T12:03+00:00,smoove:400,Kuusisaari,14,2
2026-08-18T12:03+00:00,smoove:643,Auringonkatu,3,17
2026-08-18T12:03+00:00,smoove:401,Koivusaari (M),4,12
2026-08-18T12:03+00:00,smoove:523,Ahertajantie,2,14
2026-08-18T12:03+00:00,smoove:402,Bermudankuja,8,6
2026-08-18T12:03+00:00,smoove:645,Piispankallio,2,14
2026-08-18T12:03+00:00,smoove:403,Verkkosaari,17,3
2026-08-18T12:03+00:00,smoove:537,Innopoli,14,6
2026-08-18T12:03+00:00,smoove:538,Hagalundinpuisto,4,10
2026-08-18T12:03+00:00,smoove:539,"Aalto-yliopisto (M), Tietotie",9,11
2026-08-18T12:03+00:00,smoove:651,Suurpellonaukio,19,5
2026-08-18T12:03+00:00,smoove:531,Keilaranta,24,0
2026-08-18T12:03+00:00,smoove:653,Lukutori,12,2
2026-08-18T12:03+00:00,smoove:532,Betonimies,3,13
2026-08-18T12:03+00:00,smoove:533,Tekniikantie,1,17
2026-08-18T12:03+00:00,smoove:547,Jämeräntaival,1,29
2026-08-18T12:03+00:00,smoove:305,Kalkkihiekantie,14,2
2026-08-18T12:03+00:00,smoove:306,Kauppakeskus Columbus,9,11
2026-08-18T12:03+00:00,smoove:549,Maarinranta,4,12
2026-08-18T12:03+00:00,smoove:307,Ulappasilta,8,10
2026-08-18T12:03+00:00,smoove:308,Mosaiikkitori,1,17
2026-08-18T12:03+00:00,smoove:309,Kaivonkatsojanpuisto,9,9
2026-08-18T12:03+00:00,smoove:541,"Aalto-yliopisto (M), Korkeakouluaukio",41,0
2026-08-18T12:03+00:00,smoove:543,Otaranta,22,0
